,Date,Hour,Unit_Consumption,Time,Full_Date,Day_of_Week_Num,Day_of_Week,Weekend,Holiday,AM_PM,Time_of_Day
340,15,4,50,4:00,2023-04-15,5,Saturday,Y,N,AM,Late_Night
341,15,5,50,5:00,2023-04-15,5,Saturday,Y,N,AM,Late_Night
342,15,6,50,6:00,2023-04-15,5,Saturday,Y,N,AM,Morning
343,15,7,100,7:00,2023-04-15,5,Saturday,Y,N,AM,Morning
344,15,8,450,8:00,2023-04-15,5,Saturday,Y,N,AM,Morning
345,15,9,250,9:00,2023-04-15,5,Saturday,Y,N,AM,Morning
346,15,10,400,10:00,2023-04-15,5,Saturday,Y,N,AM,Morning
347,15,11,300,11:00,2023-04-15,5,Saturday,Y,N,AM,Morning
348,15,12,150,12:00,2023-04-15,5,Saturday,Y,N,PM,Afternoon
349,15,13,200,13:00,2023-04-15,5,Saturday,Y,N,PM,Afternoon
350,15,14,250,14:00,2023-04-15,5,Saturday,Y,N,PM,Afternoon
351,15,15,150,15:00,2023-04-15,5,Saturday,Y,N,PM,Afternoon
